City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
161,gewane,10.1664,40.6453,19.96,69,25,1.55,ET,1734405092
162,cobh,51.8572,-8.2992,11.22,94,75,7.72,IE,1734405093
163,broome,42.2506,-75.833,6.5,94,100,6.17,US,1734405094
164,chaman,30.9236,66.4512,0.13,43,0,1.15,PK,1734405096
165,harper,4.375,-7.7169,25.77,85,0,0.25,LR,1734405097
166,crane,31.3974,-102.3501,12.52,38,0,5.22,US,1734405098
167,melfort,52.8667,-104.6177,-19.01,99,71,3.62,CA,1734405099
168,pathein,16.7833,94.7333,26.17,59,82,4.72,MM,1734405100
169,padrauna,26.9025,83.9819,17.82,51,0,0.71,IN,1734405101
170,carnarvon,-24.8667,113.6333,31.82,43,0,5.39,AU,1734405103
171,brisas de zicatela,15.8369,-97.0419,25.29,78,0,0.0,MX,1734405104
172,nova sintra,14.8667,-24.7167,25.59,79,100,3.97,CV,1734405105
173,holualoa,19.6228,-155.9522,25.7,49,0,2.57,US,1734405106
174,ribeira grande,38.5167,-28.7,17.65,77,7,6.26,PT,1734405107
175,port shepstone,-30.7414,30.455,21.41,91,100,2.98,ZA,1734405108
176,nanfeng,23.7434,111.7959,18.71,29,0,1.58,CN,1734405110
177,usinsk,65.9939,57.5281,-20.54,88,97,4.34,RU,1734405111
178,punta arenas,-53.15,-70.9167,13.06,71,0,4.12,CL,1734405112
179,vernon,50.2581,-119.2691,0.97,90,100,0.29,CA,1734404933
180,port mathurin,-19.6833,63.4167,25.15,67,46,9.3,MU,1734405114
181,berdigestyakh,62.0989,126.6992,-29.38,100,99,1.36,RU,1734405115
182,mahayag,8.1183,123.4455,28.56,78,100,1.34,PH,1734405116
183,kodiak,57.79,-152.4072,3.73,93,100,10.8,US,1734405118
184,azare,11.6765,10.1948,15.7,24,100,3.57,NG,1734404892
185,wailua homesteads,22.0669,-159.378,25.44,81,75,3.6,US,1734405120
186,fallon,39.4735,-118.7774,7.65,65,100,4.1,US,1734405121
187,kashgar,39.4547,75.9797,-8.91,84,6,0.53,CN,1734405122
188,howard springs,-12.497,131.047,34.43,73,100,5.44,AU,1734405123
189,pijijiapan,15.7011,-93.23,23.62,72,3,2.57,MX,1734405124
190,tiksi,71.6872,128.8694,-24.52,99,33,3.42,RU,1734405126
191,junin de los andes,-39.9504,-71.0694,14.48,79,2,2.43,AR,1734405127
192,kourou,5.1552,-52.6478,24.44,94,100,2.43,GF,1734405128
193,mokopane,-24.1944,29.0097,22.51,53,17,3.0,ZA,1734405130
194,ulsteinvik,62.3432,5.8487,5.73,71,100,2.24,NO,1734405131
195,attleborough,52.5129,-1.4549,7.46,95,86,2.68,GB,1734405132
196,nagato,34.3833,131.2,9.87,61,91,7.48,JP,1734405133
197,greenville,35.6127,-77.3663,12.85,98,88,2.91,US,1734404881
